,Садовый,Курортный,Степной,Лесной,Научный,Приморский,Северный,Западный,Таежный,Портовый,Алмазный,Полярный,Южный,Date,Month,Year
0,-4.883099999999998,9.546000000000012,-4.8201999999999945,-5.0706,-11.924299999999992,1.0731,4.4401,-4.669800000000006,-6.74990000000001,9.040100000000015,-8.806899999999992,-9.82170000000001,-0.6269000000000009,1,January,2023
1,-8.3615,9.320099999999998,-2.695100000000002,-7.794899999999991,-8.442599999999992,1.5962999999999983,1.5255,-5.894899999999995,-7.866000000000017,10.623999999999981,-6.9284999999999926,-4.040400000000002,-0.10140000000000002,2,January,2023
2,-7.8696,8.129999999999992,-6.520800000000003,-11.869200000000005,-4.938800000000003,2.1705000000000014,2.6852000000000027,-9.569200000000004,-14.805000000000012,11.984999999999996,-8.420399999999992,-3.333199999999997,-1.1207999999999994,3,January,2023
3,-7.622299999999999,7.885300000000006,-20.299599999999966,-5.020500000000009,-6.145400000000007,0.5378999999999993,5.050499999999996,-5.766400000000009,-10.253499999999981,9.908499999999993,-7.891699999999993,-5.196799999999997,0.8592999999999992,4,January,2023
4,-5.457400000000003,7.2233,-19.94830000000002,-1.4145999999999999,-7.652900000000008,-1.3929,6.921999999999993,-5.765699999999997,-10.05399999999998,11.163999999999996,-6.008599999999992,-6.134500000000008,2.1762000000000037,5,January,2023
5,-4.2850000000000055,7.831599999999998,-21.44410000000003,-1.8250000000000008,-5.176600000000004,-1.0641000000000014,4.652900000000012,-8.007899999999987,-8.774099999999986,13.406899999999986,0.5103000000000003,-10.485599999999994,1.341099999999999,6,January,2023
6,-4.693900000000002,8.161499999999993,-16.83850000000002,-4.551500000000003,-3.759200000000003,-1.2384999999999997,6.231900000000011,-5.851500000000003,-15.158100000000017,11.831900000000008,-5.89609999999999,0.27859999999999996,0.8547000000000005,7,January,2023
7,-3.6716000000000006,7.627099999999993,-9.36330000000001,-1.644000000000001,-4.718899999999995,-1.2383000000000006,7.907999999999982,-5.374700000000001,-20.18899999999996,9.920999999999982,-12.471399999999985,3.279899999999999,-4.049299999999994,8,January,2023
8,-3.869599999999999,7.132099999999998,-2.4512999999999963,-0.24160000000000043,-5.7899,-1.7512999999999985,8.58339999999999,-7.138700000000008,-20.206600000000037,11.88340000000002,-17.520400000000038,5.358900000000005,-5.6512999999999955,9,January,2023
9,-3.1783000000000015,8.335299999999997,-1.6263999999999996,-0.35169999999999996,-6.298299999999996,-2.626300000000002,5.777400000000005,-7.740699999999991,-12.211599999999981,13.239399999999991,-22.935699999999997,3.5173000000000014,-4.344299999999999,10,January,2023
10,-3.7723000000000035,8.335699999999997,-0.1341999999999998,-0.3658000000000002,-7.223600000000001,-1.128100000000001,-0.7890000000000001,-6.961899999999994,-18.682899999999975,12.807100000000025,-24.717699999999965,-0.8283999999999994,-4.628099999999992,11,January,2023
11,-4.371699999999999,8.84429999999999,1.1830000000000012,-1.9773000000000007,-9.603000000000012,-0.6089000000000007,-1.727699999999997,-5.2105000000000015,-24.577599999999975,12.35740000000002,-27.38530000000003,-1.714800000000003,2.1253999999999964,12,January,2023
12,-6.780399999999999,8.552800000000005,0.2192000000000001,-7.415800000000001,-10.010400000000015,-0.6807999999999989,-3.8950999999999927,-6.415799999999999,-27.595099999999974,9.894900000000018,-26.50960000000006,-3.7216000000000053,1.716799999999998,13,January,2023
13,-13.366900000000003,5.231100000000007,-1.7904999999999973,-10.418499999999986,-11.233100000000002,-0.12419999999999982,-4.943800000000004,-8.44949999999999,-27.524800000000017,6.962200000000004,-24.702099999999987,-7.762100000000004,-3.980499999999996,14,January,2023
14,-14.195800000000004,6.5794000000000015,-3.5048000000000035,-12.415200000000004,-10.924799999999994,0.7580000000000006,-6.020799999999997,-11.215200000000005,-27.11080000000003,9.05920000000001,-23.45420000000003,-5.247000000000002,-5.2648000000000055,15,January,2023
15,-12.547999999999986,3.348800000000003,-11.691700000000004,-9.990299999999989,-11.82380000000002,-0.1406000000000001,-5.087200000000004,-12.1243,-23.83120000000001,14.224799999999986,-21.61200000000001,-6.365299999999996,-5.159700000000004,16,January,2023
16,-16.881499999999964,4.754900000000004,-4.814400000000004,-7.027599999999999,-14.078999999999985,-0.5641000000000005,-7.94639999999999,-6.4786000000000055,-27.638399999999965,11.016600000000018,-17.63149999999999,-3.3850999999999964,-3.7274000000000025,17,January,2023
17,-23.39039999999999,8.555500000000002,-12.028800000000022,-6.361200000000004,-18.727799999999995,1.2644999999999986,-9.131900000000012,-4.661199999999997,-27.031900000000043,12.858100000000018,-13.499599999999988,-10.71430000000001,3.7612000000000028,18,January,2023
18,-24.444299999999945,7.423900000000006,-12.413099999999986,-6.075900000000001,-21.46589999999998,1.4726000000000001,-10.078199999999974,-7.147899999999996,-15.999199999999972,11.71380000000001,-11.455699999999986,-11.734500000000002,3.4759000000000038,19,January,2023
19,-22.50679999999995,2.992600000000005,-23.59380000000002,-12.29720000000001,-23.06289999999998,-0.1254999999999998,-7.9902999999999995,-8.832200000000007,-22.48830000000004,9.105700000000008,-15.424199999999983,-10.94319999999999,3.8031999999999972,20,January,2023
20,-23.576299999999993,6.020799999999996,-23.90760000000003,-12.132400000000002,-20.6606,-2.815899999999998,-4.908999999999991,-11.995400000000004,-28.76799999999995,12.815999999999983,-18.24469999999998,-4.658400000000006,4.203400000000003,21,January,2023
21,-23.56319999999999,9.460999999999988,-23.59859999999997,-17.478400000000008,-21.451599999999996,-0.9477000000000004,-8.559400000000005,-14.371399999999978,-28.14939999999995,14.212599999999998,-13.969800000000014,-10.542400000000008,8.516400000000006,22,January,2023
