,Садовый,Курортный,Степной,Лесной,Научный,Приморский,Северный,Западный,Таежный,Портовый,Алмазный,Полярный,Южный,Date,Month,Year
31,-22.184956,10.065911,-28.555706,-7.1797056,-7.7509093,4.0364947,-2.3091595,-10.519008,-18.094957,-6.081707,-21.357035,-3.293284,2.0058808,1,February,2023
32,-19.273504,12.946235,-29.56209,-2.2036586,-9.210281,0.5005548,-0.6202729,-3.3293996,-19.919455,-0.7904131,-21.21496,-2.8738244,2.8071067,2,February,2023
33,-14.3507185,14.393873,-23.280819,-1.1368709,-7.816752,3.6050122,1.1574278,-4.7536187,-16.68961,0.044267725,-21.479332,-1.8224937,4.6821837,3,February,2023
34,-9.3525915,15.061024,-14.52238,-6.785975,-7.0591297,4.768025,2.9279802,-4.940899,-19.295147,6.232809,-24.199917,-8.161697,8.119258,4,February,2023
35,-8.171583,11.935339,-12.073467,-3.2526507,-4.268582,0.19571726,0.8186264,-10.844108,-10.344184,7.0023203,-19.921646,-6.770997,2.0633876,5,February,2023
36,-13.48402,11.161948,-17.18698,-5.534847,-3.3033054,0.60756177,-2.3001785,-9.382361,-15.443266,8.060388,-14.745064,-3.7358103,0.7468796,6,February,2023
37,-13.472958,10.753009,-21.242935,-1.323451,-3.4514968,0.6615566,-1.4776363,-10.989416,-11.94133,8.24277,-12.647478,-3.2208505,2.947997,7,February,2023
38,-7.7693315,9.349342,-23.983456,-0.3774701,-4.306312,0.8369885,4.947316,-10.63872,3.0510151,10.616931,-9.335346,1.3237866,2.5848405,8,February,2023
39,-7.563791,9.828891,-21.603127,0.022411814,-5.1320143,5.1908,6.592969,-10.196815,2.22387,14.540197,-14.318051,-1.6686347,3.1838868,9,February,2023
40,-9.793957,10.141863,-21.141697,-0.5574935,-4.4826603,8.239083,6.2059846,-9.01599,2.5559244,15.3073225,-13.953735,-2.4235451,3.9835434,10,February,2023
41,-9.360285,9.782275,-20.58358,-1.0602411,-4.6931167,8.616339,6.260802,-6.5746756,3.786304,14.567228,-16.264053,4.020888,3.9260032,11,February,2023
42,-4.398343,12.229133,-12.921884,-0.91739607,-4.8372984,4.0640244,6.2719784,-4.651579,0.9532505,14.614899,-15.751904,2.2931945,3.8619576,12,February,2023
43,-3.8350503,12.558632,-7.047296,-1.0251902,-5.0885286,3.163883,6.387861,-5.4177985,-3.8726635,15.235422,-14.4308,2.3531067,3.9175272,13,February,2023
44,-2.504118,11.2629795,-5.6500034,-2.7692688,-5.2194185,1.0723169,5.537914,-7.5109706,-6.4215345,15.414635,-12.836648,2.5559084,5.0698123,14,February,2023
45,-3.99443,11.608083,-4.158247,-2.9668155,-5.8561397,2.999098,5.391865,-5.7796807,-6.4673953,16.46306,-13.586293,-0.94133645,3.0845466,15,February,2023
46,-4.13841,8.1836605,-2.8834324,-3.1623383,-4.8736587,4.8428645,5.9370713,-5.6838756,-9.819539,14.824137,-13.062976,-1.8192385,1.352085,16,February,2023
47,-4.091444,7.6205745,-7.7798753,-3.443567,-3.7403808,6.051465,6.63816,-5.818686,-12.75887,13.545483,-12.088912,-2.4251754,0.06122767,17,February,2023
48,-3.9954817,7.573805,-7.731075,-2.2281957,-5.9674344,4.8040304,6.01585,-4.167717,-10.029849,13.507435,-12.155563,-7.2114162,-1.1908911,18,February,2023
49,-3.9031086,8.199601,0.32747936,-0.12177881,-8.260345,4.9329033,5.1862397,-0.1191073,-17.290827,11.615634,-11.734872,-8.978679,-0.4472351,19,February,2023
50,-5.714235,9.076579,-0.36263996,-1.1538721,-12.60844,4.356391,3.5712516,-0.923658,-19.155024,15.016452,-12.599657,-6.753361,1.839078,20,February,2023
51,-7.418142,8.90523,-5.248614,-4.1598907,-13.717516,4.3337116,2.627341,-2.4734635,-20.43659,13.331922,-12.7094,-4.930526,3.3005118,21,February,2023
52,-7.8504558,8.6937065,-22.11811,-8.425383,-15.404973,4.693734,6.202319,-2.8857226,-14.819035,11.148173,-11.460205,-13.255605,1.9172624,22,February,2023
53,-4.8212624,8.448978,-26.046494,-10.264263,-17.253134,4.5282125,7.898547,-0.31497663,-8.440838,13.009209,-11.469341,-14.93531,-1.3399976,23,February,2023
54,-6.860693,8.68904,-20.489056,-12.37932,-19.10888,0.75072896,9.721667,-2.8605862,-11.716999,12.921884,-7.5672436,-17.79676,-1.1441599,24,February,2023
55,-10.020426,9.719641,-20.334797,-10.923656,-15.587787,0.49554536,6.474087,-1.8622502,-12.240949,12.393351,-7.9390674,-14.844919,0.25640622,25,February,2023
56,-9.807468,12.02293,-16.712868,-7.855352,-6.3222156,1.781674,5.1448135,0.8871638,-21.596191,13.435576,-11.9859085,-14.732506,1.4072831,26,February,2023
57,-7.7972546,13.328494,-16.06363,-12.209791,-3.8759286,0.057175424,4.8024235,1.3619775,-22.231445,13.049404,-12.24762,-7.326288,2.2626266,27,February,2023
58,-7.5529513,14.8649025,-13.399076,-7.3352585,-3.6647599,-3.817516,5.250335,1.5561106,-11.711059,12.397029,-11.136942,-5.9782944,4.136646,28,February,2023
59,-8.204056,9.557882,-7.664352,-1.4344075,-3.162508,-0.06312348,4.384366,1.2190477,-8.267855,14.096891,-11.156734,-12.471445,5.3222218,1,March,2023
60,-8.151495,8.999045,-9.420188,-0.21092287,-3.4936302,2.1791713,6.6362524,-0.8901066,-7.008915,17.046629,-10.723383,-10.6951885,4.8665404,2,March,2023
